EMAIL,FIRSTNAME,LASTNAME,STARTUP,SALUTATION,SUBJECT_LINE,INTRO,OBSERVATION,LANDING_IDEA,OFFER_CTA,SOURCE_SITE,PRIORITY,SEQUENCE_DAY,DATA_ORIGIN,STATUS
contact@skezi.eu,,,SKEZI,"Bonjour l’équipe SKEZI,",SKEZI : raconter une étude patient de bout en bout,"J’ai parcouru vos solutions de collecte de données auprès des patients, aidants et soignants, ainsi que vos références comme Le French Gut, Spoon et ComPaRe.","Les chiffres — plus de 600 000 patients, 20 millions de données et 60 publications — sont très convaincants, mais les parcours Associations, Académiques, Hôpitaux, Industriels et Professionnels de santé se retrouvent sur la même page.","Une landing dédiée à un seul public pourrait suivre la création d’une e-cohorte, l’envoi des e-PROs, la participation patient puis la valorisation des résultats. Le bénéfice métier serait plus rapide à saisir.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://skezi.eu/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@datacapt.com,,,Datacapt,"Bonjour l’équipe Datacapt,",Datacapt : montrer une étude clinique de l’eCRF au reporting,"J’ai exploré votre plateforme eClinical et ses preuves d’échelle : plus de 10 000 études, 700 000 patients, 6 000 sites et 3 milliards de points de données.","EDC, ePRO, eConsent, randomisation, supply, télévisites et CTMS montrent une couverture impressionnante, mais cette largeur peut masquer la simplicité annoncée face aux outils historiques.","Une landing par profil — par exemple CRO ou dispositif médical — pourrait montrer la création sans code d’un eCRF, le consentement, la visite puis le reporting, en s’appuyant sur vos démonstrations interactives existantes.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.datacapt.com/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@verleyfood.com,,,Verley,"Bonjour l’équipe Verley,",Verley : faire choisir FermWhey par l’usage produit,"J’ai découvert votre gamme FermWhey — Native, Native 100, MicroStab et Gel — ainsi que votre ambition de faire évoluer l’industrie laitière grâce à la fermentation de précision.","La technologie et la mission environnementale sont bien présentes, mais un industriel peut encore hésiter sur l’ingrédient adapté à son application et sur le bénéfice fonctionnel attendu.","Une landing pourrait partir de trois besoins formulaires — nutrition, stabilisation, texture — puis associer chaque besoin à une protéine, une démonstration d’application et un résultat mesurable avant d’expliquer le procédé.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://verley-food.com/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
m.manueljoao@komia.io,,,Komia,"Bonjour Manuel,",Komia : montrer la journée d’un restaurateur dans une seule interface,"J’ai regardé comment Komia réunit le planning, les variables de paie, la conformité HACCP et les stocks pour plus de 1 000 établissements.","Le “tout-en-un” est clair, mais les trois modules restent présentés séparément alors que votre vraie force est d’éviter au manager de passer d’un logiciel à l’autre.","Une landing pourrait suivre une journée : absence à remplacer, relevé de température, commande fournisseur en deux clics puis contrôle de marge, le tout relié à la caisse. Cela rendrait le gain de temps immédiatement concret.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.komia.io/,Haute,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
eu_sales@agathalife.com,,,Agatha,"Bonjour l’équipe Agatha Europe,",Agatha : une landing eTMF centrée sur une biotech,"J’ai parcouru votre suite documentaire pour la recherche clinique : eTMF, Remote ISF, SOP, Quality et Regulatory, avec des parcours distincts pour biotech, medtech, pharma et CRO.","La couverture est rassurante, mais un nouveau visiteur peut difficilement identifier le premier produit à considérer et le bénéfice immédiat par rapport à son organisation actuelle.","Je verrais une landing eTMF dédiée aux biotechs : documents essentiels centralisés, complétude visible, échanges avec les sites puis préparation de l’audit — en gardant votre promesse de déploiement simple et sans formation complexe.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://fr.agathalife.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@reecall.com,,,Reecall,"Bonjour l’équipe Reecall,",Reecall : mettre le scénario OBAT au centre de la démonstration,"J’ai parcouru votre nouvelle plateforme et le cas OBAT autour de la disponibilité des artisans, parmi plus de 35 millions d’interactions et 450 scénarios déjà traités.","Construire, connecter et améliorer sont bien expliqués, mais le visiteur doit encore imaginer la conversation réelle et l’action déclenchée dans le CRM ou par SMS.","Une landing pourrait faire écouter un appel entrant, afficher la qualification par l’agent vocal puis la confirmation envoyée et la donnée remontée au CRM. Les 20 langues et le déploiement en quelques heures renforceraient ensuite la preuve.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://reecall.com/fr,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@vizcab.io,,,Vizcab,"Bonjour l’équipe Vizcab,","Vizcab : une landing pour choisir entre Platform, Excel et API","J’ai regardé votre écosystème carbone : plateforme ACV, Campus, add-in Excel et API, avec plus de 21 000 EPD accessibles et 95 % de satisfaction.","Cette richesse répond à plusieurs niveaux de maturité, mais elle peut rendre le premier choix difficile pour un bureau d’études ou une équipe de conception qui arrive avec un projet précis.","Une landing orientée conception pourrait partir d’un bâtiment, comparer deux variantes matériaux dans Excel ou la plateforme, puis montrer la réduction obtenue et le passage au reporting CSRD.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://vizcab.io/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
communication@deeplink-medical.com,,,Deeplink Medical,"Bonjour l’équipe communication,",IMADIS Groupe : une landing par décideur hospitalier,"J’ai vu que le site Deeplink Medical renvoie désormais vers IMADIS Groupe, qui réunit téléradiologie, télémédecine nucléaire et plateformes comme ITIS, DLMbox et MIRIO.","Les preuves sont fortes — plus de 700 médecins, 16 centres et 200 établissements accompagnés 24 h/24 — mais les besoins d’un DSI, d’un chef de service et d’une direction d’établissement sont très différents.","Une landing par décideur pourrait suivre le transfert d’images, l’interprétation à distance et le retour sécurisé du compte rendu, avec les garanties techniques et opérationnelles placées au bon moment.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.deeplink-medical.com/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@mob-energy.com,,,Mob-Energy,"Bonjour l’équipe Mob-Energy,",Eiko : montrer 25 véhicules rechargés avec un seul câble,"J’ai parcouru la plateforme Eiko : installation en trois jours sans terrassement, jusqu’à 25 véhicules avec un seul raccordement et optimisation de la puissance disponible.","C’est une démonstration très différenciante, mais elle gagnerait à être visualisée comme un problème électrique concret plutôt que comme une liste de capacités.","Une landing pourrait comparer le même parking avant/après Eiko : travaux et puissance requis d’un côté, raccordement unique, priorisation et stockage en heures creuses de l’autre, avec les références Airbus ou DHL en preuve.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.mob-energy.com/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@foodprint.eco,,,FoodPrint,"Bonjour l’équipe FoodPrint,",FoodPrint : montrer un menu plus durable et rentable en deux clics,"J’ai regardé votre promesse de menus plus durables et plus rentables en deux clics, avec l’analyse environnementale et nutritionnelle directement appliquée aux recettes.","La page s’adresse à la fois aux restaurateurs et aux responsables RSE. Le premier veut agir sur une recette et sa marge ; le second veut mesurer, afficher et intégrer les données au bilan carbone.","Une landing restaurateur pourrait montrer une recette importée, son impact, une variante bas carbone puis l’effet sur la rentabilité. Les références Crous, Compass ou Vinci apporteraient ensuite la confiance.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.foodprint.eco/,Haute,J1,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@onlynnov.com,,,Onlynnov,"Bonjour l’équipe Onlynnov,",Onlynnov : une landing Tech360 par risque métier,"J’ai parcouru vos offres pour le numérique, la santé et l’électronique, ainsi que votre simulateur qui permet d’obtenir un tarif en trois clics parmi plus de 20 assurances.",Votre spécialisation est réelle — plus de 700 entreprises tech accompagnées — mais un éditeur SaaS ou une medtech doit encore parcourir beaucoup de contrats avant de relier son risque à la bonne couverture.,"Une landing Tech360 pourrait partir de trois incidents concrets — erreur logicielle, cyberattaque, engagement contractuel — puis montrer la couverture RC Pro + Cyber et conduire directement au simulateur.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://onlynnov.com/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@moofize.fr,,,Moofize,"Bonjour l’équipe Moofize,",Moofize : montrer le rendez-vous laboratoire–médecin de bout en bout,"J’ai regardé votre application B2B qui relie l’industrie de la santé aux praticiens, avec prise de rendez-vous, consignes de réception et information médicale multicanale.","La valeur existe des deux côtés, mais la page demande encore au visiteur d’imaginer qui initie l’échange et comment Moofize réduit réellement les interruptions dans le cabinet.","Une landing pourrait suivre une demande de visite médicale, le créneau choisi selon les consignes du praticien, puis l’accès au contenu après le rendez-vous. Le gain pour le médecin et le laboratoire serait visible dans le même parcours.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://moofize.fr/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@routyn.tech,,,Routyn,"Bonjour l’équipe Routyn,",Routyn : une landing par routine commerciale industrielle,"J’ai parcouru votre méthode pour les cycles industriels longs, avec une visibilité recherchée à 6–9 mois, plus de 60 entreprises accompagnées et un NPS de 96 %.","Vos cas Omerin, Fluoptics, Michelin ou Union Plastic sont très parlants, mais ils apparaissent après une présentation large de la méthode et des nombreux leviers activables.","Une landing par secteur pourrait partir d’une routine précise — réactivation de devis ou prospection distributeurs — montrer le cadrage, le déploiement puis un résultat comme les 25 leads mensuels de Fluoptics.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://routyn.fr/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
solutions@simplifia.fr,,,Simplifia,"Bonjour l’équipe Simplifia,",Simplifia : raconter le parcours d’une famille dans la solution 3-en-1,"J’ai regardé votre solution qui réunit logiciel funéraire, vitrine digitale et services aux familles, déjà utilisée par plus de 750 dirigeants de pompes funèbres.","Les trois piliers sont bien identifiés, mais leur continuité dans le quotidien d’une agence reste moins visible : acquisition en ligne, gestion du dossier puis accompagnement de la famille.","Une landing pourrait suivre un seul dossier depuis la première recherche web jusqu’aux services après obsèques, avec les écrans métier et le temps gagné à chaque étape.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://simplifiaforbusiness.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@efalia.com,,,Tilkee,"Bonjour l’équipe Tilkee,",Tilkee : rendre les signaux d’achat visibles dans la page,J’ai parcouru votre promesse très forte : révéler ce que le prospect ne dit pas pendant les 98 % du cycle de vente qui se déroulent sans le commercial.,"Le lien intelligent, l’espace documentaire et les analytics sont bien expliqués, mais le moment décisif — savoir qui consulte quoi et quand relancer — pourrait être encore plus visuel.","Une landing pourrait afficher une proposition partagée depuis Salesforce, les pages consultées par plusieurs décideurs puis l’alerte qui déclenche la bonne relance. Le signal commercial deviendrait le héros de la démonstration.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.tilkee.com/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
arthur.pinault@sostech.fr,,,SOStech,"Bonjour Arthur,","Arthur, une landing collectivités pour SOStech","J’ai regardé comment SOStech agit contre la fracture numérique auprès des collectivités, entreprises, associations et particuliers, avec des actions déjà déployées d’Arras à Lyon.","Le constat d’un Français sur cinq touché est marquant, mais une collectivité doit encore reconstituer le dispositif concret qu’elle pourrait mettre en place sur son territoire.","Une landing collectivités pourrait montrer le diagnostic local, le recrutement des bénéficiaires, les ateliers puis les résultats d’autonomie, avec une carte des territoires et un cas terrain en preuve.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://sostech.fr/,Haute,J1,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@feedbac.fr,,,Feedbac,"Bonjour l’équipe Feedbac,",Feedbac : transformer 697 tonnes collectées en preuve locale,"J’ai parcouru votre offre lyonnaise de tri, collecte et valorisation des biodéchets, avec le bac plein remplacé par un bac propre puis le traitement à Vaulx-en-Velin.","Vos chiffres — 697 tonnes collectées et 231 tonnes d’amendements organiques créées — sont très concrets, mais ils pourraient être reliés plus directement à la décision d’un restaurateur soumis à la loi AGEC.","Une landing “restaurant à Lyon” pourrait montrer l’installation, la fréquence de collecte, le devenir du compost et l’impact mensuel, puis proposer directement le test d’un mois.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.feedbac.fr/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
christophe@bioetlo.fr,,,Bio&Lo,"Bonjour Christophe,","Christophe, une piste pour la page Delaferme","J’ai vu que bioetlo.com renvoie maintenant vers Delaferme, avec vos yaourts bio en vrac, la poche avec doseur et le réseau de fermes partenaires.","Le nouveau modèle est beaucoup plus précis que l’ancien positionnement Bio&Lo, mais la page mélange encore produit, micro-laiterie, collectif d’éleveurs et impact environnemental.","Une landing dédiée à l’hôtellerie ou aux collectivités pourrait montrer la fontaine en situation, le remplissage, la réduction du plastique et le bénéfice pour les éleveurs — avec un calcul simple par établissement.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.bioetlo.com/,Haute,J1,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
communication@mybookinou.com,,,Bookinou,"Bonjour l’équipe Bookinou,",Bookinou : une landing dédiée au kit école,"J’ai parcouru votre univers pour les 2–7 ans, avec le lecteur, les histoires enregistrées avec sa propre voix et les collections sélectionnées par 500 enseignants.","L’expérience familiale est très incarnée, mais l’offre École, bibliothèque et crèche partage encore la navigation avec toute la boutique grand public.","Une landing Kit école pourrait suivre l’enseignant qui prépare une histoire, l’enfant qui l’écoute en autonomie puis l’usage en classe, avec le contenu du kit et des témoignages pédagogiques visibles sans détour.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.mybookinou.com/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@kikleo.com,,,Kikleo,"Bonjour l’équipe Kikleo,",Kikleo : montrer comment la caméra mène à 20 % de gaspillage en moins,"J’ai regardé vos solutions Scan Convoyeur et Borne Convive, qui utilisent la caméra et l’IA pour identifier les restes sans intervention des équipes.","Les 250 restaurants équipés et la réduction annoncée de 20 % sont convaincants, mais le lien entre la mesure d’une assiette et la décision prise en cuisine peut être encore plus direct.","Une landing pourrait suivre un service : détection des aliments jetés, tableau de bord par recette, ajustement des quantités puis économies constatées. Elle aiderait aussi à choisir immédiatement entre convoyeur et borne.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://kikleo.com/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
